Team_A,Team_B,Score_A,Score_B,Winner
New York Knicks,Boston Celtics,109,132,Boston Celtics
Minnesota Timberwolves,Los Angeles Lakers,103,110,Los Angeles Lakers
Indiana Pacers,Detroit Pistons,115,109,Indiana Pacers
Brooklyn Nets,Atlanta Hawks,116,120,Atlanta Hawks
Orlando Magic,Miami Heat,116,97,Orlando Magic
Milwaukee Bucks,Philadelphia 76ers,124,109,Milwaukee Bucks
Cleveland Cavaliers,Toronto Raptors,136,106,Cleveland Cavaliers
Charlotte Hornets,Houston Rockets,110,105,Charlotte Hornets
Chicago Bulls,New Orleans Pelicans,111,123,New Orleans Pelicans
Memphis Grizzlies,Utah Jazz,126,124,Memphis Grizzlies
Phoenix Suns,Los Angeles Clippers,116,113,Phoenix Suns
Golden State Warriors,Portland Trail Blazers,140,104,Golden State Warriors
Boston Celtics,Washington Wizards,122,102,Boston Celtics
San Antonio Spurs,Dallas Mavericks,109,120,Dallas Mavericks
Oklahoma City Thunder,Denver Nuggets,102,87,Oklahoma City Thunder
Minnesota Timberwolves,Sacramento Kings,117,115,Minnesota Timberwolves
Brooklyn Nets,Orlando Magic,101,116,Orlando Magic
Philadelphia 76ers,Toronto Raptors,107,115,Toronto Raptors
Charlotte Hornets,Atlanta Hawks,120,125,Atlanta Hawks
Detroit Pistons,Cleveland Cavaliers,101,113,Cleveland Cavaliers
Indiana Pacers,New York Knicks,98,123,New York Knicks
Memphis Grizzlies,Houston Rockets,108,128,Houston Rockets
Chicago Bulls,Milwaukee Bucks,133,122,Chicago Bulls
Golden State Warriors,Utah Jazz,127,86,Golden State Warriors
Phoenix Suns,Los Angeles Lakers,116,123,Los Angeles Lakers
New Orleans Pelicans,Portland Trail Blazers,105,103,New Orleans Pelicans
Los Angeles Clippers,Denver Nuggets,109,104,Los Angeles Clippers
Miami Heat,Charlotte Hornets,114,106,Miami Heat
Boston Celtics,Detroit Pistons,124,118,Boston Celtics
Cleveland Cavaliers,Washington Wizards,135,116,Cleveland Cavaliers
Oklahoma City Thunder,Chicago Bulls,114,95,Oklahoma City Thunder
Orlando Magic,Memphis Grizzlies,111,124,Memphis Grizzlies
Toronto Raptors,Minnesota Timberwolves,101,112,Minnesota Timberwolves
Houston Rockets,San Antonio Spurs,106,109,San Antonio Spurs
Dallas Mavericks,Phoenix Suns,102,114,Phoenix Suns
Sacramento Kings,Los Angeles Lakers,127,131,Los Angeles Lakers
Philadelphia 76ers,Indiana Pacers,118,114,Philadelphia 76ers
Milwaukee Bucks,Brooklyn Nets,102,115,Brooklyn Nets
